order_id,customer_id,order_date,payment_method,order_status,Customer_ID_Status
O00097,C0592,24-07-2026,,Cancelled,Valid
O00098,C0215,12-12-2025,Credit Card,,Valid
O00099,C0294,19-11-2025,Net Banking,Delivered,Valid
O00100,C0792,11-02-2026,UPI,Delivered,Valid
O00101,C0153,19-09-2025,Debit Card,Delivered,Valid
O00102,C0016,15-05-2026,Net Banking,Delivered,Valid
O00103,C0105,14-10-2025,Net Banking,Delivered,Valid
O00104,C0563,11-12-2025,Debit Card,Delivered,Valid
O00105,C0722,23-11-2025,Net Banking,Delivered,Valid
O00106,C0176,06-08-2025,Debit Card,Cancelled,Valid
O00107,C0347,03-04-2026,COD,Delivered,Valid
O00108,C0134,15-07-2025,COD,Returned,Valid
O00109,C0052,24-08-2025,COD,Delivered,Valid
O00110,C0089,04-02-2026,COD,Delivered,Valid
O00111,C0722,02-05-2026,Net Banking,Cancelled,Valid
O00112,C0707,24-06-2026,COD,Cancelled,Valid
O00113,C0365,07-12-2025,Debit Card,Delivered,Valid
O00114,C0731,24-07-2026,Net Banking,Delivered,Valid
O00115,C0774,27-07-2026,COD,Cancelled,Valid
O00116,C0135,17-08-2025,COD,Delivered,Valid
O00117,C0467,06-12-2025,COD,Delivered,Valid
O00118,C0238,23-10-2025,Credit Card,Cancelled,Valid
O00119,C0265,03-01-2026,Credit Card,Delivered,Valid
O00120,C0717,06-06-2026,Debit Card,Delivered,Valid
O00121,C0465,07-03-2026,UPI,Delivered,Valid
O00122,C0487,27-08-2025,Debit Card,Delivered,Valid
O00123,C0473,26-09-2025,Debit Card,Processing,Valid
O00124,C0357,06-05-2026,Net Banking,Delivered,Valid
O00125,C0521,22-08-2025,COD,Processing,Valid
O00126,C0110,14-12-2025,Net Banking,Returned,Valid
O00127,C0073,02-12-2025,Net Banking,Delivered,Valid
O00128,C0411,29-04-2026,COD,Delivered,Valid
O00129,C0636,02-11-2025,Net Banking,Delivered,Valid
O00130,C0494,13-01-2026,UPI,Delivered,Valid
O00131,C0214,21-06-2026,Net Banking,Delivered,Valid
O00132,C0446,17-04-2026,Debit Card,Delivered,Valid
O00133,C0711,29-10-2025,Credit Card,Returned,Valid
O00134,C0686,09-08-2025,Net Banking,Delivered,Valid
O00135,C0118,30-04-2026,Net Banking,Delivered,Valid
O00136,C0334,11-04-2026,UPI,Delivered,Valid
O00137,C0181,05-12-2025,COD,Delivered,Valid
O00138,C0613,25-08-2025,Net Banking,Processing,Valid
O00139,C0389,15-12-2025,COD,Returned,Valid
O00140,C0677,01-08-2025,UPI,Delivered,Valid
O00141,C0143,24-04-2026,UPI,Processing,Valid
O00142,C0151,04-06-2026,Credit Card,Delivered,Valid
O00143,C0545,27-11-2025,COD,Cancelled,Valid
O00144,C0592,14-02-2026,Credit Card,Delivered,Valid
O00145,C0698,10-12-2025,Debit Card,Cancelled,Valid
O00146,C0696,03-12-2025,COD,Processing,Valid
O00147,C0353,15-08-2025,Net Banking,Delivered,Valid
O00148,C0627,19-03-2026,,Delivered,Valid
O00149,C0302,01-08-2025,Debit Card,Delivered,Valid
O00150,C0055,01-07-2025,Net Banking,Delivered,Valid
O00151,C0113,22-11-2025,UPI,Delivered,Valid
O00152,C0443,25-06-2026,Net Banking,Delivered,Valid
O00153,C0641,10-12-2025,COD,Delivered,Valid
O00154,C0391,08-02-2026,Net Banking,Delivered,Valid
O00155,C0679,27-09-2025,COD,Delivered,Valid
O00156,C0193,11-04-2026,COD,Delivered,Valid
O00157,C0428,17-09-2025,Debit Card,Returned,Valid
O00158,C0129,07-09-2025,UPI,Delivered,Valid
O00159,C0664,09-07-2025,Credit Card,Processing,Valid
O00160,C0499,02-06-2026,COD,Delivered,Valid
O00161,C0087,09-09-2025,COD,Delivered,Valid
O00162,C0713,06-05-2026,COD,Cancelled,Valid
O00163,C0185,18-02-2026,Net Banking,Delivered,Valid
O00164,C0566,16-02-2026,COD,Delivered,Valid
O00165,C0232,04-10-2025,,Cancelled,Valid
O00166,C0008,22-04-2026,COD,Processing,Valid
O00167,C0243,30-06-2026,Net Banking,Delivered,Valid
O00168,C0421,06-04-2026,Net Banking,Delivered,Valid
O00169,C0035,20-07-2025,Net Banking,Delivered,Valid
O00170,C0722,05-01-2026,UPI,Cancelled,Valid
O00171,,19-06-2026,UPI,Delivered,Missing
O00172,C0748,10-07-2026,Net Banking,Processing,Valid
O00173,C0798,21-11-2025,COD,Delivered,Valid
O00174,C0081,25-03-2026,Net Banking,Delivered,Valid
O00175,C0252,27-02-2026,UPI,Returned,Valid
O00176,C0649,03-04-2026,Net Banking,Delivered,Valid
O00177,C0628,28-07-2025,Debit Card,Delivered,Valid
O00178,C0798,06-07-2025,COD,Delivered,Valid
O00179,C0525,26-02-2026,Net Banking,Processing,Valid
O00180,C0340,01-02-2026,Debit Card,Delivered,Valid
O00181,C0297,24-09-2025,UPI,Returned,Valid
O00182,C0612,19-07-2026,Debit Card,Processing,Valid
O00183,C0578,11-11-2025,UPI,Cancelled,Valid
O00184,C0485,23-04-2026,Credit Card,Cancelled,Valid
O00185,C0053,02-06-2026,Debit Card,Processing,Valid
O00186,C0640,14-07-2025,Debit Card,Delivered,Valid
O00187,C0085,03-09-2025,Net Banking,Delivered,Valid
O00188,C0285,07-11-2025,Credit Card,Cancelled,Valid
O00189,C0288,18-11-2025,Debit Card,Delivered,Valid
O00190,C0760,27-08-2025,Net Banking,Delivered,Valid
O00191,C0606,14-07-2026,Credit Card,Returned,Valid
O00192,C0458,06-01-2026,Credit Card,Delivered,Valid
O00193,C0718,29-10-2025,COD,Delivered,Valid
O00194,C0541,17-07-2025,Debit Card,Delivered,Valid
O00195,C0149,01-05-2026,Credit Card,Delivered,Valid
O00196,C0771,28-01-2026,COD,Delivered,Valid
O00197,C0677,11-02-2026,Credit Card,Delivered,Valid
O00198,C0592,11-07-2026,Debit Card,Delivered,Valid
O00199,C0658,13-11-2025,UPI,Delivered,Valid
O00200,C0172,23-02-2026,COD,Delivered,Valid
O00201,C0309,01-03-2026,Net Banking,Delivered,Valid
O00202,C0389,15-06-2026,COD,Delivered,Valid
O00203,C0269,13-09-2025,Net Banking,Delivered,Valid
O00204,C0013,25-11-2025,COD,Delivered,Valid
O00205,C0695,09-12-2025,Net Banking,Returned,Valid
O00206,C0043,19-08-2025,Net Banking,Cancelled,Valid
O00207,C0363,07-02-2026,Net Banking,Returned,Valid
O00208,C0280,19-12-2025,Debit Card,Delivered,Valid
O00209,C0101,08-11-2025,Net Banking,Delivered,Valid
O00210,C0473,31-07-2026,Credit Card,Processing,Valid
O00211,C0689,28-04-2026,Credit Card,Delivered,Valid
O00212,C0346,12-06-2026,Credit Card,Delivered,Valid
O00213,C0561,06-07-2025,UPI,Delivered,Valid
O00214,C0013,27-01-2026,UPI,Delivered,Valid
O00215,C0107,16-06-2026,COD,Delivered,Valid
O00216,C0225,07-07-2026,Debit Card,Delivered,Valid
O00217,C0198,18-07-2025,UPI,Cancelled,Valid
O00218,C0095,30-07-2025,Net Banking,Returned,Valid
O00219,C0223,03-05-2026,UPI,Processing,Valid
O00220,C0123,14-08-2025,Net Banking,Delivered,Valid
O00221,C0385,02-06-2026,Net Banking,Delivered,Valid
O00222,C0114,22-06-2026,Credit Card,Delivered,Valid
O00223,C0302,31/02/2026,UPI,Cancelled,Valid
O00224,C0465,19-11-2025,COD,Returned,Valid
O00225,C0684,30-07-2026,Debit Card,Delivered,Valid
O00226,C0166,07-08-2025,Debit Card,Processing,Valid
O00227,C0064,12-01-2026,COD,Delivered,Valid
O00228,C0062,10-11-2025,Debit Card,Delivered,Valid
O00229,C0452,05-08-2025,COD,Delivered,Valid
O00230,C0625,18-01-2026,Credit Card,Returned,Valid
O00231,C0504,25-08-2025,Credit Card,Delivered,Valid
O00232,C0788,06-02-2026,Credit Card,Cancelled,Valid
O00233,C0659,24-08-2025,COD,Processing,Valid
O00234,C0266,22-08-2025,UPI,Delivered,Valid
O00235,C0073,19-04-2026,Debit Card,Processing,Valid
O00236,C0457,10-07-2025,COD,Delivered,Valid
O00237,C0669,24-05-2026,UPI,Delivered,Valid
O00238,C0681,16-01-2026,Debit Card,Delivered,Valid
O00239,C0717,16-12-2025,COD,Cancelled,Valid
O00240,C0004,21-03-2026,COD,Delivered,Valid
O00241,C0447,23-01-2026,UPI,Delivered,Valid
O00242,C0232,02-07-2025,COD,Returned,Valid
O00243,C0799,04-03-2026,UPI,Cancelled,Valid
O00244,C0549,31-12-2025,Debit Card,Returned,Valid
O00245,C0311,22-01-2026,UPI,Cancelled,Valid
O00246,C0663,16-08-2025,Debit Card,Delivered,Valid
O00247,C0349,11-08-2025,COD,Processing,Valid
O00248,C0785,26-11-2025,Credit Card,Delivered,Valid
O00249,C0568,21-07-2025,COD,Returned,Valid
O00250,C0196,01-12-2025,COD,Delivered,Valid
O00251,C0646,18-06-2026,Debit Card,Delivered,Valid
O00252,C0087,20-05-2026,COD,Processing,Valid
O00253,C0195,10-09-2025,UPI,Delivered,Valid
O00254,C0026,04-07-2026,Net Banking,Delivered,Valid
O00255,C0501,16-01-2026,UPI,Delivered,Valid
O00256,C0659,05-12-2025,COD,Delivered,Valid
O00257,C0461,09-07-2025,UPI,Delivered,Valid
O00258,C0058,20-12-2025,UPI,Delivered,Valid
O00259,C0122,17-10-2025,Net Banking,Delivered,Valid
O00260,C0695,01-04-2026,Credit Card,Processing,Valid
O00261,C0594,28-10-2025,UPI,Delivered,Valid
O00262,C0754,11-09-2025,COD,Returned,Valid
O00263,C0020,27-02-2026,Net Banking,Delivered,Valid
O00264,C0249,25-06-2026,Credit Card,Delivered,Valid
O00265,C0177,20-05-2026,UPI,Delivered,Valid
O00266,C0100,19-02-2026,Net Banking,Delivered,Valid
O00267,C0606,02-08-2025,UPI,Delivered,Valid
O00268,C0510,01-05-2026,Net Banking,Delivered,Valid
O00269,C0065,12-10-2025,COD,Delivered,Valid
O00270,C0756,13-06-2026,COD,Delivered,Valid
O00271,C0124,16-06-2026,Net Banking,Delivered,Valid
O00272,C0141,12-12-2025,Credit Card,Processing,Valid
O00273,C0047,30-04-2026,Credit Card,Delivered,Valid
O00274,C0065,31-08-2025,Debit Card,Delivered,Valid
O00275,C0776,29-01-2026,Credit Card,Returned,Valid
O00276,C0379,10-04-2026,Credit Card,Delivered,Valid
O00277,C0250,24-04-2026,UPI,Delivered,Valid
O00278,C0103,20-05-2026,Net Banking,Delivered,Valid
O00279,C0797,19-09-2025,,Delivered,Valid
O00280,C0083,04-07-2025,UPI,Delivered,Valid
O00281,C0092,27-06-2026,Net Banking,Delivered,Valid
O00282,C0427,21-06-2026,COD,Returned,Valid
O00283,C0130,14-10-2025,Credit Card,Cancelled,Valid
O00284,C0278,25-03-2026,COD,Delivered,Valid
O00285,C0245,28-09-2025,Net Banking,Returned,Valid
O00286,C0039,02-05-2026,Credit Card,Processing,Valid
O00287,C0512,10-05-2026,UPI,Cancelled,Valid
O00288,C0309,26-12-2025,COD,Delivered,Valid
O00289,C0572,29-10-2025,Credit Card,Delivered,Valid
O00290,C0543,18-08-2025,Net Banking,Delivered,Valid
O00291,C0780,03-04-2026,Net Banking,Delivered,Valid
O00292,C0476,30-07-2026,Credit Card,Delivered,Valid
O00293,C0055,08-10-2025,UPI,Delivered,Valid
O00294,C0702,28-02-2026,COD,Delivered,Valid
O00295,C0164,09-06-2026,UPI,Delivered,Valid
O00296,C0661,03-01-2026,Debit Card,Delivered,Valid
O00297,C0446,06-11-2025,Debit Card,Cancelled,Valid
O00298,C0777,18-02-2026,UPI,Delivered,Valid
O00299,C0759,27-07-2025,Net Banking,Delivered,Valid
O00300,C0162,15-07-2025,COD,Delivered,Valid
O00301,C0119,06-08-2025,Credit Card,Processing,Valid
O00302,C0456,30-04-2026,Net Banking,Delivered,Valid
O00303,C0430,10-10-2025,Debit Card,Delivered,Valid
O00304,C0798,26-08-2025,Debit Card,Delivered,Valid
O00305,C0101,30-10-2025,COD,Delivered,Valid
O00306,C0385,21-10-2025,UPI,Delivered,Valid
O00307,C0600,06-03-2026,UPI,Delivered,Valid
O00308,C0149,19-10-2025,Net Banking,Delivered,Valid
O00309,C0183,15-01-2026,Debit Card,Delivered,Valid
O00310,C0469,04-07-2026,Credit Card,Cancelled,Valid
O00311,C0368,16-11-2025,Credit Card,Delivered,Valid
O00312,C0131,17-07-2025,Net Banking,Delivered,Valid
O00313,C0288,08-09-2025,UPI,Delivered,Valid
O00314,C0470,31-01-2026,Credit Card,Processing,Valid
O00315,C0352,21-10-2025,Debit Card,Cancelled,Valid
O00316,C0161,23-05-2026,Net Banking,Delivered,Valid
O00317,C0592,10-04-2026,Credit Card,Delivered,Valid
O00318,C0422,25-03-2026,COD,Delivered,Valid
O00319,C0606,28-02-2026,COD,Delivered,Valid
O00320,C0015,09-07-2026,COD,Processing,Valid
O00321,C0253,04-11-2025,Debit Card,Delivered,Valid
O00322,C0594,22-10-2025,Net Banking,Delivered,Valid
O00323,C0588,03-07-2025,COD,Delivered,Valid
O00324,C0042,26-02-2026,Net Banking,Delivered,Valid
O00325,C0436,29-03-2026,COD,Delivered,Valid
O00326,C0714,20-08-2025,COD,Delivered,Valid
O00327,C0247,12-08-2025,Net Banking,Processing,Valid
O00328,C0013,20-06-2026,COD,Delivered,Valid
O00329,C0136,31-12-2025,Debit Card,Delivered,Valid
O00330,C0664,16-08-2025,UPI,Delivered,Valid
O00331,C0686,04-12-2025,Credit Card,Processing,Valid
O00332,C0471,19-04-2026,Net Banking,Delivered,Valid
O00333,C0466,23-02-2026,Credit Card,Processing,Valid
O00334,C0416,03-10-2025,Debit Card,Cancelled,Valid
O00335,C0476,26-06-2026,UPI,Cancelled,Valid
O00336,C0073,14-01-2026,Debit Card,Delivered,Valid
O00337,C0034,29-11-2025,COD,Processing,Valid
O00338,C0277,23-06-2026,Net Banking,Delivered,Valid
O00339,C0590,15-10-2025,UPI,Cancelled,Valid
O00340,C0344,12-07-2026,UPI,Delivered,Valid
O00341,C0691,03-01-2026,UPI,Delivered,Valid
O00342,C0393,04-01-2026,COD,Cancelled,Valid
O00343,C0042,04-01-2026,Debit Card,Delivered,Valid
O00344,C0664,13-04-2026,UPI,Delivered,Valid
O00345,C0727,13-10-2025,Credit Card,Delivered,Valid
O00346,C0245,03-04-2026,UPI,Returned,Valid
O00347,C0490,13-07-2026,Net Banking,Returned,Valid
O00348,C0215,21-07-2026,Credit Card,Delivered,Valid
O00349,C0362,14-11-2025,Net Banking,Returned,Valid
O00350,C0434,19-11-2025,UPI,Delivered,Valid
O00351,C0382,24-12-2025,COD,Delivered,Valid
O00352,C0514,27-03-2026,UPI,Delivered,Valid
O00353,C0727,30-03-2026,Net Banking,Delivered,Valid
O00354,C0463,14-05-2026,Debit Card,Returned,Valid
O00355,C0710,03-08-2025,Credit Card,Delivered,Valid
O00356,C0090,11-08-2025,COD,Delivered,Valid
O00357,C0296,09-08-2025,UPI,Delivered,Valid
O00358,C0283,27-08-2025,Credit Card,Delivered,Valid
O00359,C0155,13-10-2025,Net Banking,Cancelled,Valid
O00360,C0024,28-11-2025,COD,Returned,Valid
O00361,C0555,06-09-2025,COD,Delivered,Valid
O00362,C0431,13-02-2026,UPI,Delivered,Valid
O00363,C0194,02-08-2025,UPI,Delivered,Valid
O00364,C0533,27-05-2026,Debit Card,Delivered,Valid
O00365,C0593,23-12-2025,Debit Card,Delivered,Valid
O00366,C0608,06-06-2026,Net Banking,Delivered,Valid
O00367,C0456,20-02-2026,Debit Card,Cancelled,Valid
O00368,C0136,04-12-2025,Credit Card,Delivered,Valid
O00369,C0233,05-03-2026,Debit Card,Delivered,Valid
O00370,C0789,25-07-2025,Credit Card,Delivered,Valid
O00371,C0292,19-02-2026,Credit Card,Cancelled,Valid
O00372,C0165,30-06-2026,Net Banking,Delivered,Valid
O00373,C0187,28-09-2025,Credit Card,Delivered,Valid
O00374,C0244,29-08-2025,UPI,Delivered,Valid
O00375,C0589,03-09-2025,COD,Delivered,Valid
O00376,C0379,03-10-2025,Credit Card,Delivered,Valid
O00377,C0725,18-07-2025,Debit Card,Delivered,Valid
O00378,C0152,07-01-2026,COD,Delivered,Valid
O00379,C0167,31-03-2026,Debit Card,Delivered,Valid
O00380,C0026,24-01-2026,COD,Processing,Valid
O00381,C0149,20-02-2026,Debit Card,Delivered,Valid
O00382,C0005,14-07-2026,Net Banking,Delivered,Valid
O00383,C0340,28-05-2026,Debit Card,Delivered,Valid
O00384,C0297,22-07-2026,Net Banking,Returned,Valid
O00385,C0151,16-04-2026,COD,Delivered,Valid
O00386,C0706,27-08-2025,COD,Delivered,Valid
O00387,C0143,13-06-2026,Net Banking,Delivered,Valid
O00388,C0316,13-07-2025,COD,Cancelled,Valid
O00389,C0226,14-02-2026,Debit Card,Delivered,Valid
O00390,C0335,29-07-2025,Net Banking,Returned,Valid
O00391,C0200,25-04-2026,Net Banking,Delivered,Valid
O00392,C0786,20-11-2025,Credit Card,Delivered,Valid
O00393,C0086,02-04-2026,COD,Returned,Valid
O00394,C0688,14-08-2025,Net Banking,Delivered,Valid
O00395,C0200,09-03-2026,Debit Card,Cancelled,Valid
O00396,C0620,19-03-2026,UPI,Returned,Valid
O00397,C0370,20-01-2026,Credit Card,Processing,Valid
O00398,C0438,06-01-2026,COD,Delivered,Valid
O00399,C0013,23-11-2025,Debit Card,Delivered,Valid
O00400,C0316,14-02-2026,Net Banking,Delivered,Valid
O00401,C0221,08-07-2026,COD,Processing,Valid
O00402,C0426,12-02-2026,Debit Card,Delivered,Valid
O00403,C0746,03-02-2026,COD,Delivered,Valid
O00404,C0602,03-05-2026,UPI,Delivered,Valid
O00405,C0213,03-12-2025,COD,Delivered,Valid
O00406,C0344,03-08-2025,Net Banking,Processing,Valid
O00407,C0385,15-08-2025,UPI,Delivered,Valid
O00408,C0655,17-11-2025,COD,Delivered,Valid
O00409,C0570,22-02-2026,Net Banking,Processing,Valid
O00410,C0141,11-10-2025,Credit Card,Delivered,Valid
O00411,C0297,10-04-2026,COD,Delivered,Valid
O00412,C0310,26-04-2026,Debit Card,Delivered,Valid
O00413,C0573,14-07-2026,COD,Delivered,Valid
O00414,C0028,02-07-2025,Credit Card,Delivered,Valid
O00415,C0308,24-05-2026,COD,Delivered,Valid
O00416,C0670,06-06-2026,Debit Card,Delivered,Valid
O00417,C0184,09-03-2026,Credit Card,Delivered,Valid
O00418,C0123,27-07-2026,Debit Card,Delivered,Valid
O00419,C0069,03-05-2026,Debit Card,Cancelled,Valid
O00420,C0493,16-04-2026,COD,Delivered,Valid
O00421,C0644,17-06-2026,COD,Returned,Valid
O00422,C0123,08-01-2026,Net Banking,Processing,Valid
O00423,C0590,09-07-2025,Debit Card,Delivered,Valid
O00424,C0596,30-07-2025,Credit Card,Delivered,Valid
O00425,C0473,20-06-2026,Credit Card,Delivered,Valid
O00426,C0168,28-07-2025,Debit Card,Delivered,Valid
O00427,C0430,22-05-2026,Debit Card,Delivered,Valid
O00428,C0297,27-11-2025,Net Banking,Cancelled,Valid
O00429,C0079,21-03-2026,Credit Card,Processing,Valid
O00430,C0644,02-10-2025,UPI,Cancelled,Valid
O00431,C0771,24-09-2025,Net Banking,Delivered,Valid
O00432,C0324,16-06-2026,Debit Card,Delivered,Valid
O00433,C0702,23-06-2026,Debit Card,Delivered,Valid
O00434,C0548,23-04-2026,Debit Card,Delivered,Valid
O00435,C0014,09-09-2025,Net Banking,Delivered,Valid
O00436,C0382,06-03-2026,COD,Delivered,Valid
O00437,C0167,22-08-2025,Credit Card,Delivered,Valid
O00438,C0516,22-10-2025,Credit Card,Delivered,Valid
O00439,C0629,19-06-2026,Net Banking,Delivered,Valid
O00440,C0730,09-04-2026,UPI,Delivered,Valid
O00441,C0472,09-08-2025,UPI,Delivered,Valid
O00442,C0018,03-03-2026,Debit Card,Delivered,Valid
O00443,C0708,02-01-2026,Credit Card,Delivered,Valid
O00444,C0612,25-03-2026,Debit Card,Delivered,Valid
O00445,C0727,03-12-2025,UPI,Processing,Valid
O00446,C0122,22-10-2025,Credit Card,Returned,Valid
O00447,C0146,18-06-2026,Credit Card,Delivered,Valid
O00448,C0129,16-10-2025,Credit Card,Delivered,Valid
O00449,C0436,19-06-2026,UPI,Delivered,Valid
O00450,C0020,05-03-2026,COD,Delivered,Valid
O00451,C0202,25-08-2025,UPI,Returned,Valid
O00452,C0526,30-04-2026,UPI,Delivered,Valid
O00453,C0122,07-11-2025,UPI,Delivered,Valid
O00454,C0309,07-06-2026,UPI,Processing,Valid
O00455,C0099,02-09-2025,Net Banking,Delivered,Valid
O00456,C0602,11-10-2025,Credit Card,Returned,Valid
O00457,C0360,15-07-2025,UPI,Delivered,Valid
O00458,C0765,20-11-2025,Net Banking,Delivered,Valid
O00459,C0361,21-09-2025,Net Banking,Processing,Valid
O00460,C0747,10-05-2026,Credit Card,Delivered,Valid
O00461,C0584,04-08-2025,UPI,Cancelled,Valid
O00462,,08-07-2025,Net Banking,Delivered,Missing
O00463,C0733,07-10-2025,Debit Card,Delivered,Valid
O00464,C0773,02-04-2026,UPI,Processing,Valid
O00465,C0102,18-10-2025,Net Banking,Processing,Valid
O00466,C0487,04-01-2026,Net Banking,Delivered,Valid
O00467,C0451,10-06-2026,UPI,Delivered,Valid
O00468,C0364,11-01-2026,COD,Delivered,Valid
O00469,C0527,25-10-2025,COD,Delivered,Valid
O00470,C0780,08-12-2025,UPI,Delivered,Valid
O00471,C0113,24-03-2026,Credit Card,Delivered,Valid
O00472,C0781,01-01-2026,Debit Card,Delivered,Valid
O00473,C0740,21-07-2025,UPI,Delivered,Valid
O00474,C0506,29-08-2025,COD,Delivered,Valid
O00475,C0468,04-05-2026,Debit Card,Returned,Valid
O00476,C0455,24-10-2025,Net Banking,Delivered,Valid
O00477,C0298,05-02-2026,Credit Card,Delivered,Valid
O00478,C0488,13-06-2026,Debit Card,Delivered,Valid
O00479,C0014,11-06-2026,COD,Returned,Valid
O00480,C0108,19-01-2026,COD,Delivered,Valid
O00481,C0675,12-06-2026,UPI,Delivered,Valid
O00482,C0147,19-01-2026,COD,Returned,Valid
O00483,C0605,22-08-2025,Credit Card,Delivered,Valid
O00484,C0373,10-10-2025,Debit Card,Delivered,Valid
