order_detail_id,order_id,Order_ID_Status,product_id,Product_ID_Status,quantity,Quantity_Status,discount,Discount_Status
OD000052,O00021,Valid,P084,Valid,4,Valid,0.05,Valid
OD000053,O00022,Valid,P102,Valid,3,Valid,0.25,Valid
OD000054,O00022,Valid,P134,Valid,2,Valid,0,Valid
OD000055,O00023,Valid,P090,Valid,3,Valid,0.25,Valid
OD000056,O00023,Valid,P105,Valid,1,Valid,0,Valid
OD000057,O00024,Valid,P117,Valid,3,Valid,0,Valid
OD000058,O00024,Valid,P040,Valid,4,Valid,0.15,Valid
OD000059,O00024,Valid,P049,Valid,4,Valid,0,Valid
OD000060,O00025,Valid,P037,Valid,3,Valid,0.05,Valid
OD000061,O00025,Valid,P019,Valid,1,Valid,0.25,Valid
OD000062,O00026,Valid,P078,Valid,2,Valid,0.2,Valid
OD000063,O00026,Valid,P054,Valid,1,Valid,0.25,Valid
OD000064,O00027,Valid,P007,Valid,1,Valid,0,Valid
OD000065,O00028,Valid,P031,Valid,1,Valid,0,Valid
OD000066,O00029,Valid,P019,Valid,1,Valid,0.1,Valid
OD000067,O00029,Valid,P018,Valid,1,Valid,0.2,Valid
OD000068,O00029,Valid,P065,Valid,2,Valid,0,Valid
OD000069,O00029,Valid,P116,Valid,3,Valid,0.15,Valid
OD000070,O00030,Valid,P088,Valid,2,Valid,0.05,Valid
OD000071,O00031,Valid,P078,Valid,2,Valid,0.15,Valid
OD000072,O00032,Valid,P123,Valid,3,Valid,0.1,Valid
OD000073,O00032,Valid,P011,Valid,1,Valid,0.1,Valid
OD000074,O00033,Valid,P090,Valid,1,Valid,0.05,Valid
OD000075,O00034,Valid,P122,Valid,4,Valid,0,Valid
OD000076,O00034,Valid,P099,Valid,2,Valid,0.2,Valid
OD000077,O00034,Valid,P138,Valid,2,Valid,0.15,Valid
OD000078,O00035,Valid,P126,Valid,1,Valid,0.1,Valid
OD000079,O00036,Valid,P125,Valid,4,Valid,0,Valid
OD000080,O00037,Valid,P065,Valid,1,Valid,0,Valid
OD000081,O00037,Valid,P140,Valid,1,Valid,0.2,Valid
OD000082,O00038,Valid,P025,Valid,1,Valid,0.15,Valid
OD000083,O00038,Valid,P117,Valid,2,Valid,0,Valid
OD000084,O00038,Valid,P098,Valid,1,Valid,0.05,Valid
OD000085,O00038,Valid,P087,Valid,2,Valid,0.25,Valid
OD000086,O00039,Valid,P116,Valid,1,Valid,0,Valid
OD000087,O00039,Valid,P056,Valid,3,Valid,0,Valid
OD000088,O00039,Valid,P106,Valid,2,Valid,0.25,Valid
OD000089,O00040,Valid,P008,Valid,1,Valid,0.15,Valid
OD000090,O00040,Valid,P130,Valid,1,Valid,0.1,Valid
OD000091,O00040,Valid,P114,Valid,1,Valid,0.2,Valid
OD000092,O00041,Valid,P100,Valid,3,Valid,0.2,Valid
OD000093,O00041,Valid,P138,Valid,1,Valid,0.05,Valid
OD000094,O00042,Valid,P031,Valid,2,Valid,0,Valid
OD000095,O00042,Valid,P133,Valid,2,Valid,0.05,Valid
OD000096,O00043,Valid,P042,Valid,2,Valid,0,Valid
OD000097,O00043,Valid,P011,Valid,3,Valid,0,Valid
OD000098,O00043,Valid,P075,Valid,4,Valid,0,Valid
OD000099,O00043,Valid,P085,Valid,1,Valid,0.1,Valid
OD000100,O00044,Valid,P064,Valid,2,Valid,0.25,Valid
OD000101,O00044,Valid,P002,Valid,3,Valid,0.25,Valid
OD000102,O00045,Valid,P046,Valid,1,Valid,0,Valid
OD000103,O00045,Valid,P097,Valid,1,Valid,0.05,Valid
OD000104,O00045,Valid,P012,Valid,4,Valid,-0.1,Invalid
OD000105,O00046,Valid,P127,Valid,3,Valid,0.1,Valid
OD000106,O00046,Valid,P059,Valid,4,Valid,0.2,Valid
OD000107,O00047,Valid,P026,Valid,1,Valid,0,Valid
OD000108,O00048,Valid,P145,Valid,1,Valid,0.1,Valid
OD000109,O00049,Valid,P094,Valid,1,Valid,0.2,Valid
OD000110,O00049,Valid,P111,Valid,2,Valid,0.2,Valid
OD000111,O00050,Valid,P140,Valid,1,Valid,0.1,Valid
OD000112,O00051,Valid,P009,Valid,2,Valid,0.15,Valid
OD000113,O00051,Valid,P072,Valid,3,Valid,0.1,Valid
OD000114,O00052,Valid,P017,Valid,1,Valid,0.05,Valid
OD000115,O00053,Valid,P092,Valid,2,Valid,0,Valid
OD000116,O00053,Valid,P122,Valid,1,Valid,0,Valid
OD000117,O00053,Valid,P103,Valid,1,Valid,0,Valid
OD000118,O00054,Valid,P147,Valid,1,Valid,0.2,Valid
OD000119,O00055,Valid,P115,Valid,3,Valid,0.15,Valid
OD000120,O00056,Valid,P143,Valid,1,Valid,0.1,Valid
OD000121,O00057,Valid,P048,Valid,2,Valid,0.1,Valid
OD000122,O00058,Valid,P144,Valid,1,Valid,0,Valid
OD000123,O00059,Valid,P038,Valid,1,Valid,0,Valid
OD000124,O00060,Valid,P101,Valid,1,Valid,0.15,Valid
OD000125,O00060,Valid,P003,Valid,4,Valid,0,Valid
OD000126,O00060,Valid,P096,Valid,1,Valid,0.15,Valid
OD000127,O00061,Valid,P069,Valid,1,Valid,0.05,Valid
OD000128,O00061,Valid,P150,Valid,4,Valid,0,Valid
OD000129,O00061,Valid,P136,Valid,1,Valid,0,Valid
OD000130,O00062,Valid,P123,Valid,2,Valid,0.1,Valid
OD000131,O00062,Valid,P055,Valid,1,Valid,0,Valid
OD000132,O00062,Valid,P049,Valid,1,Valid,0.1,Valid
OD000133,O00062,Valid,P122,Valid,2,Valid,0.2,Valid
OD000134,O00063,Valid,P139,Valid,,Missing,0,Valid
OD000135,O00063,Valid,P019,Valid,4,Valid,0.15,Valid
OD000136,O00063,Valid,P038,Valid,1,Valid,0.25,Valid
OD000137,O00064,Valid,P018,Valid,2,Valid,0,Valid
OD000138,O00064,Valid,P123,Valid,1,Valid,0.2,Valid
OD000139,O00064,Valid,P132,Valid,4,Valid,0.1,Valid
OD000140,O00064,Valid,P019,Valid,4,Valid,0.2,Valid
OD000141,O00065,Valid,P058,Valid,4,Valid,0.05,Valid
OD000142,O00066,Valid,P016,Valid,1,Valid,0.25,Valid
OD000143,O00066,Valid,P111,Valid,1,Valid,0.25,Valid
OD000144,O00067,Valid,P008,Valid,3,Valid,0.2,Valid
OD000145,O00067,Valid,P050,Valid,1,Valid,0.1,Valid
OD000146,O00068,Valid,P058,Valid,2,Valid,0.15,Valid
OD000147,O00068,Valid,P033,Valid,4,Valid,0.15,Valid
OD000148,O00069,Valid,P041,Valid,2,Valid,0.15,Valid
OD000149,O00069,Valid,P062,Valid,1,Valid,0.1,Valid
OD000150,O00070,Valid,P020,Valid,1,Valid,0.15,Valid
OD000151,O00070,Valid,P111,Valid,-1,Invalid,0.2,Valid
OD000152,O00070,Valid,P008,Valid,4,Valid,0,Valid
OD000153,O00070,Valid,P107,Valid,4,Valid,0.2,Valid
OD000154,O00071,Valid,P095,Valid,1,Valid,0.1,Valid
OD000155,O00072,Valid,P119,Valid,3,Valid,0.25,Valid
OD000156,O00073,Valid,P078,Valid,4,Valid,0.15,Valid
OD000157,O00074,Valid,P084,Valid,4,Valid,0.1,Valid
OD000158,O00074,Valid,P079,Valid,2,Valid,0.1,Valid
OD000159,O00075,Valid,P144,Valid,1,Valid,0.1,Valid
OD000160,O00075,Valid,P147,Valid,1,Valid,0,Valid
OD000161,O00076,Valid,P126,Valid,2,Valid,0.15,Valid
OD000162,O00076,Valid,P088,Valid,3,Valid,0,Valid
OD000163,O00076,Valid,P137,Valid,1,Valid,0.2,Valid
OD000164,O00077,Valid,P070,Valid,4,Valid,0.05,Valid
OD000165,O00078,Valid,P132,Valid,1,Valid,0.05,Valid
OD000166,O00078,Valid,P059,Valid,1,Valid,0.15,Valid
OD000167,O00079,Valid,P090,Valid,1,Valid,0,Valid
OD000168,O00080,Valid,P086,Valid,1,Valid,0.15,Valid
OD000169,O00080,Valid,P133,Valid,2,Valid,0.2,Valid
OD000170,O00080,Valid,P106,Valid,3,Valid,0,Valid
OD000171,O00080,Valid,P072,Valid,4,Valid,0.15,Valid
OD000172,O00081,Valid,P036,Valid,3,Valid,0.15,Valid
OD000173,O00081,Valid,P076,Valid,2,Valid,0.05,Valid
OD000174,O00081,Valid,P049,Valid,1,Valid,0.25,Valid
OD000175,O00081,Valid,P093,Valid,2,Valid,0.15,Valid
OD000176,O00082,Valid,P045,Valid,3,Valid,0.2,Valid
OD000177,O00082,Valid,P031,Valid,1,Valid,0.2,Valid
OD000178,O00083,Valid,P053,Valid,2,Valid,0.25,Valid
OD000179,O00084,Valid,P087,Valid,1,Valid,0,Valid
OD000180,O00084,Valid,P047,Valid,2,Valid,0.1,Valid
OD000181,O00084,Valid,P128,Valid,3,Valid,0.05,Valid
OD000182,O00085,Valid,P118,Valid,1,Valid,0,Valid
OD000183,O00085,Valid,P138,Valid,1,Valid,0.15,Valid
OD000184,O00086,Valid,P065,Valid,1,Valid,0.1,Valid
OD000185,O00087,Valid,P141,Valid,1,Valid,0.25,Valid
OD000186,O00087,Valid,P101,Valid,1,Valid,0.1,Valid
OD000187,O00087,Valid,P001,Valid,2,Valid,0.15,Valid
OD000188,O00087,Valid,P018,Valid,2,Valid,0.25,Valid
OD000189,O00088,Valid,P131,Valid,2,Valid,0.1,Valid
OD000190,O00089,Valid,P069,Valid,1,Valid,0.1,Valid
OD000191,O00090,Valid,P126,Valid,2,Valid,0.1,Valid
OD000192,O00090,Valid,P028,Valid,1,Valid,0,Valid
OD000193,O00090,Valid,P122,Valid,1,Valid,0,Valid
OD000194,O00091,Valid,P093,Valid,4,Valid,0.25,Valid
OD000195,O00092,Valid,P011,Valid,4,Valid,1.2,Invalid
OD000196,O00093,Valid,P028,Valid,2,Valid,0.15,Valid
OD000197,O00094,Valid,P033,Valid,4,Valid,0,Valid
OD000198,O00095,Valid,P109,Valid,3,Valid,0.15,Valid
OD000199,O00095,Valid,P053,Valid,1,Valid,0,Valid
OD000200,O00095,Valid,P011,Valid,1,Valid,0.05,Valid
OD000201,O00096,Valid,P071,Valid,2,Valid,0,Valid
OD000202,O00096,Valid,P073,Valid,1,Valid,0,Valid
OD000203,O00097,Valid,P147,Valid,2,Valid,0.05,Valid
OD000204,O00097,Valid,P069,Valid,4,Valid,0,Valid
OD000205,O00098,Valid,P006,Valid,2,Valid,0.15,Valid
OD000206,O00099,Valid,P057,Valid,1,Valid,0.25,Valid
OD000207,O00100,Valid,P099,Valid,1,Valid,0,Valid
OD000208,O00100,Valid,P053,Valid,2,Valid,0.2,Valid
OD000209,O00100,Valid,P139,Valid,2,Valid,0.05,Valid
OD000210,O00100,Valid,P005,Valid,4,Valid,0.1,Valid
OD000211,O00101,Valid,P025,Valid,1,Valid,0.25,Valid
OD000212,O00102,Valid,P057,Valid,2,Valid,0.15,Valid
OD000213,O00102,Valid,P062,Valid,1,Valid,0,Valid
OD000214,O00103,Valid,P072,Valid,1,Valid,0,Valid
OD000215,O00104,Valid,P079,Valid,2,Valid,0.15,Valid
OD000216,O00105,Valid,P099,Valid,1,Valid,0.25,Valid
OD000217,O00105,Valid,P115,Valid,1,Valid,0.1,Valid
OD000218,O00105,Valid,P055,Valid,3,Valid,0.1,Valid
OD000219,O00105,Valid,P060,Valid,2,Valid,0,Valid
OD000220,O00106,Valid,P099,Valid,2,Valid,0.25,Valid
OD000221,O00106,Valid,P098,Valid,1,Valid,0,Valid
OD000222,O00106,Valid,P006,Valid,3,Valid,0.1,Valid
OD000223,O00107,Valid,P135,Valid,1,Valid,0,Valid
OD000224,O00107,Valid,P088,Valid,2,Valid,0.15,Valid
OD000225,O00108,Valid,P100,Valid,2,Valid,0,Valid
OD000226,O00108,Valid,P114,Valid,1,Valid,0,Valid
OD000227,O00109,Valid,P020,Valid,4,Valid,0.1,Valid
OD000228,O00109,Valid,P097,Valid,1,Valid,0,Valid
OD000229,O00109,Valid,P044,Valid,1,Valid,0.05,Valid
OD000230,O00110,Valid,P071,Valid,3,Valid,0.05,Valid
OD000231,O00110,Valid,P064,Valid,1,Valid,0.1,Valid
OD000232,O00111,Valid,P121,Valid,3,Valid,0.15,Valid
OD000233,O00111,Valid,P007,Valid,1,Valid,0.2,Valid
OD000234,O00112,Valid,P017,Valid,2,Valid,0.15,Valid
OD000235,O00112,Valid,P116,Valid,1,Valid,0.05,Valid
OD000236,O00112,Valid,P006,Valid,2,Valid,0,Valid
OD000237,O00113,Valid,P112,Valid,2,Valid,0,Valid
OD000238,O00113,Valid,P115,Valid,2,Valid,0.05,Valid
OD000239,O00114,Valid,P059,Valid,1,Valid,0.05,Valid
OD000240,O00115,Valid,P123,Valid,1,Valid,0,Valid
OD000241,O00116,Valid,P150,Valid,3,Valid,0.15,Valid
OD000242,O00117,Valid,P136,Valid,4,Valid,0,Valid
OD000243,O00117,Valid,P051,Valid,2,Valid,0.05,Valid
OD000244,O00118,Valid,P059,Valid,1,Valid,0.2,Valid
OD000245,O00119,Valid,P024,Valid,2,Valid,0.2,Valid
OD000246,O00120,Valid,P013,Valid,1,Valid,0.15,Valid
OD000247,O00120,Valid,P065,Valid,1,Valid,0.1,Valid
OD000248,O00121,Valid,P076,Valid,1,Valid,0.25,Valid
OD000249,O00122,Valid,P072,Valid,1,Valid,0.1,Valid
OD000250,O00122,Valid,P048,Valid,1,Valid,0,Valid
OD000251,O00123,Valid,P018,Valid,4,Valid,0,Valid
OD000252,O00123,Valid,P060,Valid,2,Valid,0,Valid
OD000253,O00124,Valid,P046,Valid,2,Valid,0.1,Valid
OD000254,O00124,Valid,P074,Valid,2,Valid,0,Valid
OD000255,O00125,Valid,P005,Valid,4,Valid,0,Valid
OD000256,O00126,Valid,P020,Valid,4,Valid,0,Valid
OD000257,O00126,Valid,,Missing,1,Valid,0.25,Valid
OD000258,O00127,Valid,P046,Valid,2,Valid,0.25,Valid
OD000259,O00127,Valid,P137,Valid,1,Valid,0.2,Valid
OD000260,O00127,Valid,P032,Valid,1,Valid,0,Valid
OD000261,O00127,Valid,P119,Valid,2,Valid,0,Valid
OD000262,O00128,Valid,P003,Valid,1,Valid,0.25,Valid
OD000263,O00129,Valid,P070,Valid,2,Valid,0.25,Valid
OD000264,O00130,Valid,P129,Valid,2,Valid,0,Valid
OD000265,O00131,Valid,P035,Valid,1,Valid,0.1,Valid
OD000266,O00131,Valid,P043,Valid,,Missing,0.25,Valid
OD000267,O00132,Valid,P062,Valid,4,Valid,0.15,Valid
OD000268,O00133,Valid,P095,Valid,1,Valid,0.1,Valid
OD000269,O00133,Valid,P147,Valid,1,Valid,0.2,Valid
OD000270,O00133,Valid,P072,Valid,1,Valid,0.2,Valid
OD000271,O00133,Valid,P119,Valid,1,Valid,0,Valid
OD000272,O00134,Valid,P011,Valid,1,Valid,0,Valid
OD000273,O00134,Valid,P018,Valid,1,Valid,0.1,Valid
OD000274,O00134,Valid,P097,Valid,2,Valid,0.25,Valid
OD000275,O00135,Valid,P102,Valid,2,Valid,0.2,Valid
OD000276,O00135,Valid,P141,Valid,2,Valid,0.15,Valid
OD000277,O00136,Valid,P134,Valid,4,Valid,0.15,Valid
OD000278,O00136,Valid,P091,Valid,2,Valid,0.2,Valid
OD000279,O00137,Valid,P104,Valid,1,Valid,0.15,Valid
OD000280,O00137,Valid,P065,Valid,4,Valid,0.1,Valid
OD000281,O00137,Valid,P135,Valid,1,Valid,0.25,Valid
OD000282,O00137,Valid,P105,Valid,1,Valid,0,Valid
OD000283,O00138,Valid,P095,Valid,4,Valid,0.05,Valid
OD000284,O00139,Valid,P106,Valid,2,Valid,0.1,Valid
OD000285,O00140,Valid,P096,Valid,1,Valid,0.05,Valid
OD000286,O00141,Valid,P051,Valid,1,Valid,0.1,Valid
OD000287,O00141,Valid,P005,Valid,4,Valid,0.2,Valid
OD000288,O00142,Valid,P038,Valid,2,Valid,0,Valid
OD000289,O00142,Valid,P116,Valid,1,Valid,0,Valid
OD000290,O00142,Valid,P036,Valid,1,Valid,0.1,Valid
OD000291,O00142,Valid,P078,Valid,1,Valid,0.1,Valid
OD000292,O00143,Valid,P120,Valid,1,Valid,0.1,Valid
OD000293,O00143,Valid,P096,Valid,1,Valid,0.1,Valid
OD000294,O00144,Valid,P063,Valid,1,Valid,0.2,Valid
OD000295,O00145,Valid,P076,Valid,1,Valid,0,Valid
OD000296,O00146,Valid,P120,Valid,2,Valid,0.2,Valid
OD000297,O00147,Valid,P111,Valid,4,Valid,0.15,Valid
OD000298,O00147,Valid,P020,Valid,2,Valid,0.1,Valid
OD000299,O00147,Valid,,Missing,1,Valid,0.25,Valid
OD000300,O00147,Valid,P091,Valid,4,Valid,0.1,Valid
OD000301,O00148,Valid,P091,Valid,1,Valid,0,Valid
OD000302,O00149,Valid,P130,Valid,1,Valid,0,Valid
OD000303,O00150,Valid,P038,Valid,3,Valid,0.2,Valid
OD000304,O00151,Valid,P070,Valid,1,Valid,0.15,Valid
OD000305,O00151,Valid,P016,Valid,1,Valid,0.2,Valid
OD000306,O00152,Valid,P096,Valid,2,Valid,0.1,Valid
OD000307,O00152,Valid,P007,Valid,1,Valid,0.25,Valid
OD000308,O00153,Valid,P118,Valid,2,Valid,0.05,Valid
OD000309,O00153,Valid,P089,Valid,1,Valid,0.05,Valid
OD000310,O00154,Valid,P133,Valid,2,Valid,0,Valid
OD000311,O00155,Valid,P125,Valid,4,Valid,0.15,Valid
OD000312,O00155,Valid,P111,Valid,1,Valid,0.2,Valid
OD000313,O00156,Valid,P141,Valid,1,Valid,0.25,Valid
OD000314,O00156,Valid,P145,Valid,2,Valid,0.05,Valid
OD000315,O00156,Valid,P130,Valid,3,Valid,0.2,Valid
OD000316,O00156,Valid,P018,Valid,2,Valid,0.2,Valid
OD000317,O00157,Valid,P069,Valid,1,Valid,0.15,Valid
OD000318,O00157,Valid,P037,Valid,2,Valid,0.05,Valid
OD000319,O00157,Valid,P051,Valid,2,Valid,0,Valid
OD000320,O00158,Valid,P012,Valid,1,Valid,0,Valid
OD000321,O00159,Valid,P050,Valid,2,Valid,0.15,Valid
OD000322,O00160,Valid,P107,Valid,4,Valid,0.25,Valid
OD000323,O00161,Valid,P110,Valid,2,Valid,0.15,Valid
OD000324,O00162,Valid,P054,Valid,1,Valid,0,Valid
OD000325,O00163,Valid,P010,Valid,1,Valid,0.2,Valid
OD000326,O00164,Valid,P017,Valid,2,Valid,0,Valid
OD000327,O00164,Valid,P057,Valid,3,Valid,0.1,Valid
OD000328,O00165,Valid,P021,Valid,3,Valid,0.1,Valid
OD000329,O00166,Valid,P088,Valid,2,Valid,0.15,Valid
OD000330,O00166,Valid,P096,Valid,2,Valid,0.25,Valid
OD000331,O00166,Valid,P121,Valid,3,Valid,0.05,Valid
OD000332,O00166,Valid,P067,Valid,3,Valid,0.2,Valid
OD000333,O00167,Valid,P135,Valid,1,Valid,0.2,Valid
OD000334,O00168,Valid,P134,Valid,1,Valid,0.25,Valid
OD000335,O00168,Valid,P072,Valid,1,Valid,0.1,Valid
OD000336,O00168,Valid,P063,Valid,2,Valid,0.05,Valid
OD000337,O00169,Valid,P131,Valid,1,Valid,0.1,Valid
OD000338,O00170,Valid,P104,Valid,4,Valid,0.25,Valid
OD000339,O00170,Valid,P014,Valid,1,Valid,0,Valid
OD000340,O00170,Valid,P077,Valid,4,Valid,0,Valid
OD000341,O00171,Valid,P058,Valid,1,Valid,0.1,Valid
OD000342,O00171,Valid,P057,Valid,1,Valid,0,Valid
OD000343,O00172,Valid,P139,Valid,2,Valid,0.2,Valid
OD000344,O00172,Valid,P130,Valid,2,Valid,0.1,Valid
OD000345,O00172,Valid,P093,Valid,2,Valid,0.05,Valid
OD000346,O00173,Valid,P021,Valid,1,Valid,0,Valid
OD000347,O00174,Valid,P124,Valid,4,Valid,0.05,Valid
OD000348,O00174,Valid,P017,Valid,1,Valid,0.1,Valid
OD000349,O00175,Valid,P111,Valid,2,Valid,0.1,Valid
OD000350,O00175,Valid,P040,Valid,1,Valid,0.05,Valid
OD000351,O00176,Valid,P031,Valid,1,Valid,0,Valid
OD000352,O00177,Valid,P126,Valid,2,Valid,0,Valid
OD000353,O00177,Valid,P102,Valid,2,Valid,0.1,Valid
OD000354,O00178,Valid,P061,Valid,1,Valid,0,Valid
OD000355,O00178,Valid,P074,Valid,2,Valid,0.05,Valid
OD000356,O00178,Valid,P063,Valid,2,Valid,0.1,Valid
OD000357,O00178,Valid,P043,Valid,4,Valid,0,Valid
OD000358,O00179,Valid,P022,Valid,1,Valid,0.25,Valid
OD000359,O00180,Valid,P003,Valid,2,Valid,0.1,Valid
OD000360,O00180,Valid,P039,Valid,1,Valid,0.25,Valid
OD000361,O00180,Valid,P139,Valid,4,Valid,0.2,Valid
OD000362,O00181,Valid,P039,Valid,2,Valid,0,Valid
OD000363,O00181,Valid,P014,Valid,1,Valid,0,Valid
OD000364,O00181,Valid,P001,Valid,1,Valid,0.25,Valid
OD000365,O00182,Valid,P092,Valid,3,Valid,0.15,Valid
OD000366,O00183,Valid,P011,Valid,1,Valid,0.05,Valid
OD000367,O00184,Valid,P026,Valid,1,Valid,0.15,Valid
OD000368,O00185,Valid,P011,Valid,2,Valid,0,Valid
OD000369,O00186,Valid,P050,Valid,1,Valid,0.05,Valid
OD000370,O00186,Valid,P044,Valid,2,Valid,0.05,Valid
OD000371,O00186,Valid,P101,Valid,2,Valid,0.25,Valid
OD000372,O00186,Valid,P126,Valid,2,Valid,0,Valid
OD000373,O00187,Valid,P073,Valid,2,Valid,0.25,Valid
OD000374,O00187,Valid,P036,Valid,1,Valid,0,Valid
OD000375,O00187,Valid,P017,Valid,3,Valid,0.25,Valid
OD000376,O00187,Valid,P119,Valid,3,Valid,0.15,Valid
OD000377,O00188,Valid,P128,Valid,2,Valid,0,Valid
OD000378,O00189,Valid,P073,Valid,4,Valid,0.05,Valid
OD000379,O00189,Valid,P009,Valid,3,Valid,0,Valid
OD000380,O00189,Valid,P101,Valid,3,Valid,0.1,Valid
OD000381,O00190,Valid,P116,Valid,1,Valid,0.2,Valid
OD000382,O00190,Valid,P092,Valid,3,Valid,0.25,Valid
OD000383,O00190,Valid,P131,Valid,2,Valid,0.1,Valid
OD000384,O00190,Valid,P079,Valid,4,Valid,0,Valid
OD000385,O00191,Valid,P080,Valid,2,Valid,0,Valid
OD000386,O00191,Valid,P084,Valid,3,Valid,0,Valid
OD000387,O00191,Valid,P054,Valid,1,Valid,0,Valid
OD000388,O00191,Valid,P062,Valid,1,Valid,0.15,Valid
OD000389,O00192,Valid,P038,Valid,1,Valid,0.1,Valid
OD000390,O00193,Valid,P039,Valid,3,Valid,0,Valid
OD000391,O00194,Valid,P086,Valid,3,Valid,0.05,Valid
OD000392,O00195,Valid,P062,Valid,2,Valid,0.1,Valid
OD000393,O00195,Valid,P124,Valid,1,Valid,0.2,Valid
OD000394,O00196,Valid,P142,Valid,2,Valid,0.2,Valid
OD000395,O00196,Valid,P078,Valid,1,Valid,0.05,Valid
OD000396,O00196,Valid,P054,Valid,1,Valid,0.1,Valid
OD000397,O00197,Valid,P089,Valid,1,Valid,0,Valid
OD000398,O00198,Valid,P065,Valid,2,Valid,0,Valid
OD000399,O00199,Valid,P128,Valid,2,Valid,0,Valid
OD000400,O00199,Valid,P119,Valid,4,Valid,0.05,Valid
OD000401,O00199,Valid,P102,Valid,3,Valid,0.2,Valid
OD000402,O00199,Valid,P083,Valid,2,Valid,0.2,Valid
OD000403,O00200,Valid,P146,Valid,4,Valid,0.2,Valid
OD000404,O00201,Valid,P002,Valid,4,Valid,0.25,Valid
OD000405,O00202,Valid,P065,Valid,2,Valid,0,Valid
OD000406,O00203,Valid,P086,Valid,1,Valid,0,Valid
OD000407,O00203,Valid,P038,Valid,1,Valid,0.15,Valid
OD000408,O00204,Valid,P127,Valid,1,Valid,0.2,Valid
OD000409,O00204,Valid,P072,Valid,1,Valid,0.1,Valid
OD000410,O00205,Valid,P003,Valid,3,Valid,0.05,Valid
OD000411,O00206,Valid,P088,Valid,1,Valid,0,Valid
OD000412,O00206,Valid,P096,Valid,2,Valid,0.25,Valid
OD000413,O00206,Valid,P087,Valid,4,Valid,0.15,Valid
OD000414,O00207,Valid,P055,Valid,1,Valid,0.05,Valid
OD000415,O00208,Valid,P130,Valid,2,Valid,0.15,Valid
